partner_id,partner_name,vehicle_type,city,availability
69,Partner_69,Bike,Bengaluru,Available
70,Partner_70,Scooter,Mumbai,Available
71,Partner_71,Bike,Delhi,Available
72,Partner_72,Bike,Delhi,Available
73,Partner_73,Bike,Delhi,Available
74,Partner_74,Scooter,Mumbai,Available
75,Partner_75,Scooter,Delhi,Available
76,Partner_76,Scooter,Hyderabad,Available
77,Partner_77,Bike,Pune,Available
78,Partner_78,Bike,Delhi,Available
79,Partner_79,Bike,Mumbai,Available
80,Partner_80,Bike,Delhi,Available
81,Partner_81,Scooter,Hyderabad,Available
82,Partner_82,Scooter,Pune,Available
83,Partner_83,Bike,Pune,Available
84,Partner_84,Scooter,Delhi,Available
85,Partner_85,Scooter,Bengaluru,Available
86,Partner_86,Scooter,Hyderabad,Available
87,Partner_87,Scooter,Mumbai,Available
88,Partner_88,Bike,Bengaluru,Available
89,Partner_89,Bike,Hyderabad,Available
90,Partner_90,Bike,Hyderabad,Available
91,Partner_91,Bike,Pune,Available
92,Partner_92,Bike,Bengaluru,Available
93,Partner_93,Scooter,Pune,Available
94,Partner_94,Bike,Delhi,Available
95,Partner_95,Scooter,Mumbai,Available
96,Partner_96,Scooter,Bengaluru,Available
97,Partner_97,Scooter,Pune,Available
98,Partner_98,Bike,Mumbai,Available
99,Partner_99,Scooter,Bengaluru,Available
100,Partner_100,Scooter,Hyderabad,Available
101,Partner_101,Scooter,Delhi,Available
102,Partner_102,Bike,Hyderabad,Available
103,Partner_103,Scooter,Hyderabad,Available
104,Partner_104,Scooter,Bengaluru,Available
105,Partner_105,Bike,Delhi,Available
106,Partner_106,Bike,Bengaluru,Available
107,Partner_107,Bike,Hyderabad,Available
108,Partner_108,Bike,Hyderabad,Available
109,Partner_109,Scooter,Bengaluru,Available
110,Partner_110,Scooter,Pune,Available
111,Partner_111,Bike,Mumbai,Available
112,Partner_112,Bike,Pune,Available
113,Partner_113,Scooter,Mumbai,Available
114,Partner_114,Bike,Pune,Available
115,Partner_115,Bike,Mumbai,Available
116,Partner_116,Scooter,Mumbai,Available
117,Partner_117,Bike,Mumbai,Available
118,Partner_118,Bike,Mumbai,Available
119,Partner_119,Scooter,Delhi,Available
120,Partner_120,Bike,Hyderabad,Available
121,Partner_121,Bike,Hyderabad,Available
122,Partner_122,Bike,Bengaluru,Available
123,Partner_123,Bike,Delhi,Available
124,Partner_124,Scooter,Hyderabad,Available
125,Partner_125,Scooter,Pune,Available
126,Partner_126,Bike,Pune,Available
127,Partner_127,Scooter,Mumbai,Available
128,Partner_128,Bike,Hyderabad,Available
129,Partner_129,Scooter,Mumbai,Available
130,Partner_130,Scooter,Delhi,Available
131,Partner_131,Scooter,Mumbai,Available
132,Partner_132,Bike,Hyderabad,Available
133,Partner_133,Bike,Hyderabad,Available
134,Partner_134,Bike,Pune,Available
135,Partner_135,Bike,Pune,Available
136,Partner_136,Bike,Delhi,Available
137,Partner_137,Bike,Mumbai,Available
138,Partner_138,Scooter,Pune,Available
139,Partner_139,Bike,Bengaluru,Available
140,Partner_140,Bike,Pune,Available
141,Partner_141,Bike,Delhi,Available
142,Partner_142,Scooter,Mumbai,Available
143,Partner_143,Bike,Bengaluru,Available
144,Partner_144,Bike,Pune,Available
145,Partner_145,Bike,Mumbai,Available
146,Partner_146,Bike,Pune,Available
147,Partner_147,Bike,Mumbai,Available
148,Partner_148,Bike,Pune,Available
149,Partner_149,Scooter,Delhi,Available
150,Partner_150,Scooter,Pune,Available
151,Partner_151,Bike,Delhi,Available
152,Partner_152,Bike,Delhi,Available
153,Partner_153,Scooter,Delhi,Available
154,Partner_154,Scooter,Hyderabad,Available
155,Partner_155,Scooter,Bengaluru,Available
156,Partner_156,Bike,Bengaluru,Available
157,Partner_157,Bike,Bengaluru,Available
158,Partner_158,Scooter,Pune,Available
159,Partner_159,Bike,Pune,Available
160,Partner_160,Bike,Bengaluru,Available
161,Partner_161,Scooter,Hyderabad,Available
162,Partner_162,Scooter,Delhi,Available
163,Partner_163,Scooter,Bengaluru,Available
164,Partner_164,Scooter,Delhi,Available
165,Partner_165,Scooter,Delhi,Available
166,Partner_166,Scooter,Bengaluru,Available
167,Partner_167,Bike,Delhi,Available
168,Partner_168,Bike,Delhi,Available
169,Partner_169,Bike,Delhi,Available
170,Partner_170,Bike,Hyderabad,Available
171,Partner_171,Bike,Pune,Available
172,Partner_172,Scooter,Pune,Available
173,Partner_173,Bike,Pune,Available
174,Partner_174,Bike,Hyderabad,Available
175,Partner_175,Scooter,Pune,Available
176,Partner_176,Scooter,Delhi,Available
177,Partner_177,Bike,Delhi,Available
178,Partner_178,Scooter,Delhi,Available
179,Partner_179,Bike,Bengaluru,Available
180,Partner_180,Bike,Hyderabad,Available
181,Partner_181,Scooter,Bengaluru,Available
182,Partner_182,Bike,Pune,Available
183,Partner_183,Scooter,Mumbai,Available
184,Partner_184,Bike,Bengaluru,Available
185,Partner_185,Bike,Mumbai,Available
186,Partner_186,Bike,Delhi,Available
187,Partner_187,Scooter,Hyderabad,Available
188,Partner_188,Scooter,Hyderabad,Available
189,Partner_189,Scooter,Delhi,Available
190,Partner_190,Bike,Pune,Available
191,Partner_191,Scooter,Mumbai,Available
192,Partner_192,Scooter,Hyderabad,Available
193,Partner_193,Bike,Mumbai,Available
194,Partner_194,Bike,Delhi,Available
195,Partner_195,Scooter,Hyderabad,Available
196,Partner_196,Scooter,Pune,Available
197,Partner_197,Scooter,Mumbai,Available
198,Partner_198,Bike,Delhi,Available
199,Partner_199,Bike,Pune,Available
200,Partner_200,Bike,Pune,Available
201,Partner_201,Bike,Delhi,Available
202,Partner_202,Scooter,Pune,Available
203,Partner_203,Bike,Pune,Available
204,Partner_204,Bike,Delhi,Available
205,Partner_205,Scooter,Bengaluru,Available
206,Partner_206,Scooter,Pune,Available
207,Partner_207,Scooter,Pune,Available
208,Partner_208,Scooter,Mumbai,Available
209,Partner_209,Scooter,Pune,Available
210,Partner_210,Bike,Pune,Available
211,Partner_211,Bike,Pune,Available
212,Partner_212,Bike,Pune,Available
213,Partner_213,Scooter,Delhi,Available
214,Partner_214,Bike,Mumbai,Available
215,Partner_215,Scooter,Mumbai,Available
216,Partner_216,Bike,Pune,Available
217,Partner_217,Bike,Bengaluru,Available
218,Partner_218,Bike,Hyderabad,Available
219,Partner_219,Scooter,Pune,Available
220,Partner_220,Bike,Pune,Available
221,Partner_221,Scooter,Bengaluru,Available
222,Partner_222,Bike,Mumbai,Available
223,Partner_223,Scooter,Bengaluru,Available
224,Partner_224,Scooter,Pune,Available
225,Partner_225,Scooter,Mumbai,Available
226,Partner_226,Scooter,Hyderabad,Available
227,Partner_227,Scooter,Hyderabad,Available
228,Partner_228,Scooter,Hyderabad,Available
229,Partner_229,Bike,Bengaluru,Available
230,Partner_230,Scooter,Bengaluru,Available
231,Partner_231,Bike,Delhi,Available
232,Partner_232,Bike,Delhi,Available
233,Partner_233,Bike,Pune,Available
234,Partner_234,Scooter,Pune,Available
235,Partner_235,Scooter,Delhi,Available
236,Partner_236,Scooter,Delhi,Available
237,Partner_237,Scooter,Bengaluru,Available
238,Partner_238,Bike,Delhi,Available
239,Partner_239,Bike,Delhi,Available
240,Partner_240,Bike,Mumbai,Available
241,Partner_241,Scooter,Bengaluru,Available
242,Partner_242,Bike,Delhi,Available
243,Partner_243,Scooter,Hyderabad,Available
244,Partner_244,Scooter,Hyderabad,Available
245,Partner_245,Scooter,Hyderabad,Available
246,Partner_246,Scooter,Pune,Available
247,Partner_247,Scooter,Pune,Available
248,Partner_248,Scooter,Mumbai,Available
249,Partner_249,Scooter,Delhi,Available
250,Partner_250,Bike,Bengaluru,Available
251,Partner_251,Scooter,Pune,Available
252,Partner_252,Scooter,Pune,Available
253,Partner_253,Bike,Pune,Available
254,Partner_254,Bike,Mumbai,Available
255,Partner_255,Bike,Hyderabad,Available
256,Partner_256,Scooter,Hyderabad,Available
257,Partner_257,Scooter,Delhi,Available
258,Partner_258,Bike,Hyderabad,Available
259,Partner_259,Scooter,Bengaluru,Available
260,Partner_260,Bike,Bengaluru,Available
261,Partner_261,Scooter,Pune,Available
262,Partner_262,Scooter,Mumbai,Available
263,Partner_263,Scooter,Delhi,Available
264,Partner_264,Scooter,Pune,Available
265,Partner_265,Scooter,Mumbai,Available
266,Partner_266,Scooter,Delhi,Available
267,Partner_267,Bike,Pune,Available
268,Partner_268,Bike,Bengaluru,Available
269,Partner_269,Bike,Delhi,Available
270,Partner_270,Scooter,Pune,Available
271,Partner_271,Scooter,Bengaluru,Available
272,Partner_272,Bike,Hyderabad,Available
273,Partner_273,Bike,Hyderabad,Available
274,Partner_274,Bike,Bengaluru,Available
275,Partner_275,Bike,Hyderabad,Available
276,Partner_276,Bike,Bengaluru,Available
277,Partner_277,Scooter,Mumbai,Available
278,Partner_278,Scooter,Delhi,Available
279,Partner_279,Bike,Pune,Available
280,Partner_280,Scooter,Pune,Available
281,Partner_281,Bike,Hyderabad,Available
282,Partner_282,Scooter,Pune,Available
283,Partner_283,Scooter,Bengaluru,Available
284,Partner_284,Scooter,Hyderabad,Available
285,Partner_285,Scooter,Pune,Available
286,Partner_286,Scooter,Hyderabad,Available
287,Partner_287,Bike,Delhi,Available
288,Partner_288,Bike,Mumbai,Available
289,Partner_289,Scooter,Mumbai,Available
290,Partner_290,Scooter,Bengaluru,Available
291,Partner_291,Bike,Hyderabad,Available
292,Partner_292,Scooter,Bengaluru,Available
293,Partner_293,Scooter,Delhi,Available
294,Partner_294,Bike,Mumbai,Available
295,Partner_295,Bike,Mumbai,Available
296,Partner_296,Bike,Hyderabad,Available
297,Partner_297,Scooter,Pune,Available
298,Partner_298,Scooter,Bengaluru,Available
299,Partner_299,Bike,Bengaluru,Available
300,Partner_300,Scooter,Hyderabad,Available
