order_id,customer_id,restaurant_id,partner_id,order_date,total_amount,payment_method,status
38,353,268,187,2026-01-17,1252.53,Card,Delivered
39,326,64,224,2026-02-01,1911.52,UPI,Cancelled
40,78,148,13,2026-01-17,1050.26,UPI,Cancelled
41,385,221,48,2026-01-09,1045.62,Cash,Delivered
42,276,202,279,2026-01-17,1912.72,UPI,Cancelled
43,427,163,225,2026-03-03,410.22,UPI,Cancelled
44,50,182,55,2026-01-14,1789.44,UPI,Delivered
45,335,45,2,2026-03-30,1122.27,UPI,Delivered
46,250,32,294,2026-02-09,972.23,Card,Cancelled
47,21,15,142,2026-03-22,1836.06,Card,Cancelled
48,138,165,245,2026-01-29,994.94,UPI,Cancelled
49,89,225,234,2026-03-07,732.27,Cash,Delivered
50,262,204,212,2026-02-11,1979.59,Cash,Cancelled
51,386,113,157,2026-03-03,230.79,UPI,Cancelled
52,424,185,133,2026-01-15,1721.8,Card,Cancelled
53,55,257,71,2026-01-18,1997.79,UPI,Cancelled
54,374,292,167,2026-03-02,1175.58,UPI,Delivered
55,104,138,34,2026-03-10,1613.03,Card,Delivered
56,137,257,12,2026-03-24,1218.25,UPI,Delivered
57,165,294,230,2026-03-29,364.72,Card,Cancelled
58,448,23,97,2026-03-17,505.31,Cash,Delivered
59,61,285,272,2026-01-06,749.2,UPI,Delivered
60,77,117,112,2026-03-10,361.41,Card,Cancelled
61,315,69,147,2026-02-04,1239.94,UPI,Delivered
62,136,30,12,2026-03-18,977.36,Card,Cancelled
63,224,35,95,2026-02-24,586.61,Cash,Delivered
64,422,220,213,2026-03-23,838.61,Card,Delivered
65,405,116,118,2026-01-23,1657.57,UPI,Cancelled
66,445,229,165,2026-01-09,1665.48,UPI,Cancelled
67,354,267,196,2026-01-20,392.95,Cash,Delivered
68,160,135,150,2026-03-02,1992.95,UPI,Delivered
69,326,195,18,2026-03-30,1617.51,Card,Cancelled
70,443,13,68,2026-03-10,616.89,Card,Delivered
71,360,224,103,2026-02-07,1128.84,UPI,Delivered
72,252,295,60,2026-02-01,520.01,Card,Cancelled
73,284,216,13,2026-02-21,1326.23,UPI,Cancelled
74,32,150,199,2026-01-17,1309.26,Cash,Delivered
75,307,139,246,2026-01-26,1271.77,Card,Delivered
76,401,79,288,2026-02-11,1485.56,Card,Delivered
77,339,50,190,2026-03-13,1017.52,UPI,Cancelled
78,412,44,209,2026-01-18,1469.41,Card,Delivered
79,299,67,287,2026-03-03,1946.9,Card,Delivered
80,15,193,32,2026-03-07,938.98,UPI,Delivered
81,21,233,43,2026-03-28,728.49,UPI,Cancelled
82,35,38,24,2026-01-06,1252.44,Card,Cancelled
83,276,241,184,2026-01-12,1730.78,UPI,Cancelled
84,128,168,120,2026-03-09,1978.9,Cash,Delivered
85,490,157,275,2026-02-09,780.97,Card,Delivered
86,247,130,118,2026-03-26,465.6,UPI,Delivered
87,133,205,104,2026-01-11,447.92,Cash,Delivered
88,198,109,82,2026-02-10,269.63,UPI,Cancelled
89,359,160,113,2026-01-15,1498.55,Card,Cancelled
90,43,36,37,2026-02-13,1681.97,UPI,Cancelled
91,235,6,86,2026-03-13,1024.69,Cash,Delivered
92,8,125,158,2026-01-25,585.52,Cash,Cancelled
93,136,179,137,2026-02-09,717.48,UPI,Delivered
94,400,226,22,2026-03-22,571.31,Card,Cancelled
95,156,59,127,2026-03-26,1411.39,UPI,Delivered
96,100,70,14,2026-01-04,992.41,Cash,Delivered
97,117,244,89,2026-03-13,1707.71,UPI,Delivered
98,33,9,71,2026-01-18,776.57,Cash,Delivered
99,277,134,100,2026-03-08,917.11,Cash,Cancelled
100,133,278,198,2026-02-15,1772.78,Cash,Cancelled
101,46,93,246,2026-02-05,1213.0,UPI,Delivered
102,14,265,27,2026-03-09,1723.2,UPI,Delivered
103,204,21,210,2026-02-10,1510.7,Cash,Cancelled
104,451,34,18,2026-03-06,436.0,Card,Cancelled
105,140,23,112,2026-03-11,549.74,Cash,Cancelled
106,466,266,12,2026-02-08,1878.65,Card,Delivered
107,267,274,84,2026-03-10,613.8,UPI,Cancelled
108,27,207,145,2026-01-22,226.74,UPI,Delivered
109,301,221,244,2026-04-01,1920.28,UPI,Cancelled
110,479,56,208,2026-03-26,1771.16,UPI,Delivered
111,260,244,253,2026-02-13,1121.98,Card,Cancelled
112,128,227,134,2026-03-16,1895.19,Card,Cancelled
113,118,194,55,2026-03-14,525.56,Cash,Cancelled
114,14,215,253,2026-01-10,309.49,Card,Delivered
115,332,120,233,2026-03-22,832.06,UPI,Cancelled
116,19,142,269,2026-03-28,1581.31,Card,Delivered
117,86,221,160,2026-03-15,1488.76,Cash,Delivered
118,384,197,15,2026-03-04,1928.76,Card,Delivered
119,133,13,290,2026-02-06,352.03,Cash,Delivered
120,151,42,88,2026-01-29,1019.89,Card,Cancelled
121,242,53,289,2026-03-28,1079.78,UPI,Delivered
122,10,143,19,2026-01-08,683.73,UPI,Cancelled
123,368,173,9,2026-03-21,1018.5,Card,Delivered
124,178,30,12,2026-01-29,992.86,UPI,Cancelled
125,92,119,42,2026-01-20,911.03,UPI,Cancelled
126,233,276,270,2026-01-01,492.6,Card,Delivered
127,345,266,225,2026-02-02,539.94,UPI,Cancelled
128,205,262,219,2026-02-22,689.36,Card,Delivered
129,242,215,83,2026-01-11,1815.21,UPI,Delivered
130,212,247,147,2026-02-04,1924.3,Cash,Cancelled
131,283,193,147,2026-02-20,632.25,Cash,Delivered
132,11,38,135,2026-02-03,1476.2,Card,Delivered
133,395,130,252,2026-02-03,228.28,Card,Delivered
134,78,58,197,2026-01-29,302.21,UPI,Delivered
135,282,240,13,2026-03-01,304.22,UPI,Cancelled
136,107,183,225,2026-03-24,398.96,Card,Cancelled
137,200,149,43,2026-03-25,612.63,Cash,Cancelled
138,179,219,221,2026-03-13,1476.53,Cash,Cancelled
139,137,96,78,2026-03-17,1742.62,Card,Cancelled
140,35,163,295,2026-02-18,1824.86,UPI,Delivered
141,59,273,105,2026-03-22,1059.07,Cash,Delivered
142,316,271,83,2026-02-15,1591.5,Card,Delivered
143,332,205,218,2026-01-18,1080.49,Cash,Delivered
144,39,13,189,2026-03-10,647.82,UPI,Cancelled
145,262,140,219,2026-02-26,1273.96,Card,Cancelled
146,42,29,72,2026-02-13,1851.57,Cash,Cancelled
147,47,5,34,2026-01-23,243.34,Card,Delivered
148,206,278,262,2026-02-28,688.41,Cash,Cancelled
149,197,54,203,2026-03-13,1034.05,UPI,Cancelled
150,352,14,194,2026-01-18,1347.19,Card,Cancelled
151,443,9,225,2026-03-26,770.98,UPI,Cancelled
152,356,27,299,2026-02-20,1663.4,Card,Delivered
153,208,64,290,2026-02-24,1989.99,UPI,Delivered
154,305,210,179,2026-03-13,516.04,Cash,Delivered
155,476,147,265,2026-01-19,1462.08,Card,Delivered
156,241,151,299,2026-03-14,1659.69,Cash,Cancelled
157,18,201,277,2026-03-28,1892.46,Card,Delivered
158,88,233,202,2026-02-11,1239.31,Cash,Delivered
159,459,41,202,2026-03-06,668.9,Card,Delivered
160,379,149,82,2026-03-22,1716.11,Card,Cancelled
161,64,131,5,2026-02-05,1946.47,Cash,Delivered
162,485,78,239,2026-03-01,633.54,UPI,Delivered
163,41,56,50,2026-01-29,1510.1,Cash,Delivered
164,130,213,76,2026-01-06,1667.26,UPI,Delivered
165,500,115,82,2026-02-19,1165.35,Card,Delivered
166,425,204,263,2026-02-15,1624.48,Cash,Delivered
167,272,37,26,2026-02-11,1921.16,Cash,Cancelled
168,231,45,1,2026-01-13,1768.18,UPI,Cancelled
169,157,131,235,2026-03-12,889.8,Cash,Delivered
170,329,65,261,2026-02-09,1102.67,Cash,Delivered
171,447,229,49,2026-02-16,1987.83,Cash,Delivered
172,59,192,130,2026-02-05,1567.04,UPI,Cancelled
173,73,286,115,2026-03-21,1892.31,UPI,Delivered
174,431,248,184,2026-04-01,1354.07,Card,Cancelled
175,461,226,58,2026-02-24,650.59,Cash,Cancelled
176,164,102,107,2026-03-07,612.92,Cash,Delivered
177,178,132,1,2026-02-18,1996.22,Cash,Delivered
178,392,248,47,2026-02-24,1129.61,Card,Delivered
179,56,219,208,2026-01-29,455.97,Cash,Cancelled
180,342,111,83,2026-03-08,587.72,Card,Cancelled
181,383,129,291,2026-02-14,1558.68,UPI,Delivered
182,473,247,275,2026-02-02,228.7,UPI,Delivered
183,103,133,118,2026-03-31,331.52,Cash,Cancelled
184,190,98,55,2026-03-30,1932.0,Card,Cancelled
185,169,211,176,2026-03-15,1999.18,Cash,Cancelled
186,387,142,181,2026-02-21,1303.93,Card,Delivered
187,242,178,145,2026-03-20,1490.61,UPI,Delivered
188,319,116,275,2026-01-22,990.73,Card,Cancelled
189,319,3,35,2026-02-21,914.35,Cash,Delivered
190,344,202,253,2026-03-02,377.97,Cash,Delivered
191,253,111,159,2026-03-26,1943.31,UPI,Cancelled
192,404,72,129,2026-02-07,1681.81,Cash,Cancelled
193,69,224,171,2026-03-02,1138.49,UPI,Cancelled
194,160,258,295,2026-01-06,730.34,Card,Cancelled
195,149,135,172,2026-01-21,1953.47,Card,Cancelled
196,227,254,87,2026-03-28,1810.9,Card,Delivered
197,299,106,163,2026-01-12,291.98,Cash,Cancelled
198,213,56,166,2026-01-06,432.61,UPI,Cancelled
199,320,182,266,2026-01-31,982.19,Cash,Delivered
200,43,17,172,2026-03-08,234.25,Card,Delivered
201,457,144,108,2026-01-22,1733.77,Card,Cancelled
202,85,23,20,2026-03-22,1094.99,Cash,Delivered
203,148,224,26,2026-02-18,1998.07,Card,Cancelled
204,295,250,105,2026-03-17,1243.09,Cash,Delivered
205,408,208,92,2026-02-13,1604.5,UPI,Cancelled
206,411,215,203,2026-01-10,592.7,UPI,Cancelled
207,134,44,93,2026-01-05,1314.16,Card,Cancelled
208,52,153,28,2026-02-09,1059.0,Card,Delivered
209,22,205,283,2026-01-17,217.88,Cash,Cancelled
210,373,196,175,2026-01-01,374.26,UPI,Delivered
211,90,296,194,2026-01-10,1155.4,Cash,Delivered
212,472,208,10,2026-01-29,1409.09,Cash,Cancelled
213,409,90,28,2026-03-20,1531.0,Card,Cancelled
214,82,114,47,2026-01-25,1300.66,Cash,Cancelled
215,341,129,99,2026-03-27,1112.59,Card,Cancelled
216,344,150,132,2026-02-01,1808.01,Cash,Delivered
217,137,186,297,2026-03-22,1504.7,Cash,Delivered
218,275,12,54,2026-01-25,593.46,UPI,Cancelled
219,84,17,113,2026-01-29,898.19,Card,Delivered
220,134,193,22,2026-03-23,1582.36,UPI,Cancelled
221,155,188,208,2026-02-25,1601.78,Card,Delivered
222,469,144,136,2026-02-06,1069.96,UPI,Cancelled
223,200,32,37,2026-01-19,668.38,Card,Delivered
224,443,158,21,2026-02-28,683.99,UPI,Cancelled
225,418,221,217,2026-02-25,1557.61,Cash,Cancelled
226,380,222,201,2026-01-25,720.62,UPI,Delivered
227,362,173,188,2026-01-21,1223.18,Cash,Cancelled
228,430,193,27,2026-01-16,980.73,UPI,Delivered
229,440,245,197,2026-01-30,511.22,UPI,Delivered
230,50,178,166,2026-03-21,1110.34,UPI,Cancelled
231,483,248,289,2026-03-22,1929.03,UPI,Delivered
232,128,68,62,2026-03-29,692.64,Cash,Delivered
233,191,147,110,2026-01-01,297.95,Card,Delivered
234,35,81,215,2026-01-17,683.18,UPI,Delivered
235,473,83,214,2026-01-25,589.87,Card,Cancelled
236,309,33,256,2026-01-23,637.0,UPI,Delivered
237,461,97,76,2026-02-01,1186.98,UPI,Cancelled
238,183,271,143,2026-01-11,522.72,Cash,Cancelled
239,402,286,295,2026-02-25,1478.49,UPI,Delivered
240,302,61,223,2026-03-12,1534.83,Card,Delivered
241,346,288,201,2026-02-26,798.61,Cash,Delivered
242,393,25,189,2026-01-07,1753.36,Card,Delivered
243,369,239,294,2026-03-26,871.79,UPI,Cancelled
244,280,245,275,2026-01-26,707.9,UPI,Delivered
245,113,145,55,2026-03-19,1698.16,UPI,Delivered
246,263,110,154,2026-02-24,1085.96,UPI,Cancelled
247,326,28,159,2026-01-27,1544.51,Cash,Delivered
248,7,234,167,2026-02-24,955.51,Cash,Delivered
249,259,27,196,2026-01-22,1904.74,UPI,Cancelled
250,189,282,219,2026-03-04,251.79,Cash,Cancelled
251,493,122,266,2026-02-19,1997.11,Cash,Delivered
252,453,103,162,2026-03-25,264.36,UPI,Cancelled
253,92,232,75,2026-03-31,458.42,Cash,Cancelled
254,48,263,64,2026-03-30,327.73,Card,Cancelled
255,108,20,272,2026-02-16,936.83,Card,Delivered
256,122,101,272,2026-01-22,1958.3,Card,Cancelled
257,423,295,260,2026-03-03,623.41,UPI,Cancelled
258,497,292,6,2026-01-16,1566.22,Cash,Cancelled
259,407,271,92,2026-01-12,1021.01,UPI,Cancelled
260,420,279,23,2026-01-18,1624.63,Cash,Delivered
261,480,184,232,2026-02-10,1960.02,UPI,Cancelled
262,431,44,202,2026-03-01,858.58,Card,Delivered
263,183,192,4,2026-03-16,370.77,Card,Cancelled
264,89,154,113,2026-03-31,1539.85,Card,Delivered
265,27,10,94,2026-01-06,1281.97,Card,Delivered
266,409,270,140,2026-02-04,1935.02,Cash,Delivered
267,67,212,178,2026-01-02,685.95,Card,Delivered
268,57,157,215,2026-02-19,1552.43,UPI,Cancelled
269,136,6,3,2026-03-14,1650.5,Card,Delivered
270,40,127,286,2026-02-14,1359.38,Cash,Delivered
271,206,72,170,2026-01-17,549.77,UPI,Delivered
272,397,18,143,2026-01-17,1999.18,Card,Delivered
273,359,5,33,2026-01-19,1636.92,Cash,Cancelled
274,159,69,201,2026-02-20,966.95,Card,Cancelled
275,150,244,96,2026-02-14,1953.89,UPI,Cancelled
276,356,28,256,2026-01-30,307.44,UPI,Delivered
277,238,2,126,2026-03-18,438.45,Card,Cancelled
278,304,142,94,2026-01-29,1500.92,UPI,Delivered
279,178,45,63,2026-02-12,1878.05,Cash,Delivered
280,169,287,275,2026-01-27,1006.36,Cash,Delivered
281,293,183,85,2026-02-25,525.97,UPI,Cancelled
282,352,253,41,2026-01-24,1998.68,Card,Delivered
283,35,129,169,2026-01-09,905.69,Card,Cancelled
284,265,37,98,2026-02-25,1807.83,Card,Cancelled
285,355,62,230,2026-02-14,792.71,UPI,Cancelled
286,343,72,99,2026-02-22,700.62,Cash,Delivered
287,432,297,159,2026-01-21,302.51,Cash,Delivered
288,327,58,93,2026-02-04,1471.4,Cash,Cancelled
289,466,127,240,2026-03-14,975.74,UPI,Cancelled
290,258,150,193,2026-02-16,1824.89,Cash,Cancelled
291,351,261,120,2026-01-17,970.38,UPI,Cancelled
292,267,95,32,2026-03-10,1471.29,UPI,Delivered
293,122,123,270,2026-02-14,1147.59,Card,Cancelled
294,402,121,1,2026-01-22,595.36,Cash,Delivered
295,80,281,47,2026-03-25,1637.42,UPI,Cancelled
296,185,171,71,2026-01-30,368.78,Card,Cancelled
297,446,22,281,2026-03-18,311.85,Cash,Cancelled
298,375,162,160,2026-01-05,1873.36,Cash,Cancelled
299,407,198,248,2026-02-09,730.36,UPI,Delivered
300,218,38,107,2026-01-14,421.52,UPI,Delivered
301,468,37,109,2026-03-02,1942.34,UPI,Cancelled
302,442,239,239,2026-02-06,1453.53,Cash,Delivered
303,237,193,43,2026-03-31,1521.01,UPI,Cancelled
304,231,105,152,2026-03-21,1666.62,Card,Delivered
305,311,203,193,2026-03-24,1718.81,Cash,Cancelled
306,127,253,8,2026-01-29,726.71,Card,Cancelled
307,387,57,62,2026-02-15,585.31,Card,Cancelled
308,216,32,91,2026-01-28,1959.01,Cash,Cancelled
309,192,270,73,2026-02-24,1639.67,Cash,Delivered
310,299,109,258,2026-01-06,1178.37,Cash,Cancelled
311,474,159,155,2026-03-25,1055.93,UPI,Cancelled
312,343,297,177,2026-02-25,984.31,Card,Delivered
313,105,237,296,2026-02-04,1806.3,Card,Cancelled
314,142,228,34,2026-02-06,400.1,Card,Cancelled
315,347,148,266,2026-03-29,1986.93,UPI,Cancelled
316,80,81,131,2026-02-01,1474.57,UPI,Cancelled
317,346,220,204,2026-01-04,605.64,UPI,Delivered
318,240,195,113,2026-01-22,725.85,Card,Cancelled
319,146,77,62,2026-01-02,1535.66,Card,Cancelled
320,215,284,32,2026-03-30,1391.87,Cash,Delivered
321,459,85,266,2026-01-13,1077.4,Card,Delivered
322,184,163,158,2026-01-08,264.8,Card,Cancelled
323,177,146,287,2026-01-05,1329.65,Card,Cancelled
324,471,147,262,2026-01-22,808.81,UPI,Delivered
325,498,68,197,2026-01-17,781.54,Card,Delivered
326,14,136,10,2026-02-07,1178.13,Cash,Delivered
327,277,238,13,2026-02-23,1653.64,Cash,Cancelled
328,64,295,292,2026-01-14,229.67,Card,Delivered
329,444,110,182,2026-03-05,1253.81,Card,Cancelled
330,164,97,5,2026-03-11,428.82,Card,Cancelled
331,324,264,52,2026-02-25,949.13,Cash,Cancelled
332,27,217,79,2026-01-12,1838.41,Card,Delivered
333,234,186,57,2026-01-11,1266.42,Card,Delivered
334,309,163,82,2026-01-27,1768.17,Card,Delivered
335,383,151,286,2026-01-27,1250.05,UPI,Cancelled
336,237,257,228,2026-03-14,895.04,Cash,Cancelled
337,429,73,1,2026-01-23,515.27,UPI,Delivered
338,440,69,125,2026-01-27,1855.8,UPI,Delivered
339,260,281,200,2026-03-04,909.81,Cash,Cancelled
340,490,259,224,2026-03-11,1047.06,Card,Delivered
341,340,102,194,2026-03-27,263.28,Card,Delivered
342,112,80,200,2026-02-26,996.18,Cash,Delivered
343,363,116,80,2026-02-14,714.27,Cash,Cancelled
344,79,34,202,2026-02-12,1825.32,UPI,Delivered
345,439,16,39,2026-01-01,1671.02,UPI,Cancelled
346,107,221,173,2026-01-08,1427.5,Cash,Cancelled
347,423,82,210,2026-01-26,344.27,UPI,Cancelled
348,426,171,258,2026-02-27,1861.07,UPI,Delivered
349,209,109,104,2026-01-19,322.71,Cash,Delivered
350,455,264,13,2026-02-28,788.7,Cash,Cancelled
351,159,79,232,2026-03-26,294.22,Card,Delivered
352,320,162,13,2026-01-04,1720.29,Card,Delivered
353,132,293,254,2026-01-30,1098.32,UPI,Delivered
354,461,16,121,2026-02-06,483.46,Cash,Delivered
355,304,236,56,2026-02-01,206.17,UPI,Cancelled
356,327,88,139,2026-03-25,1668.48,UPI,Cancelled
357,193,153,280,2026-01-30,444.3,Card,Delivered
358,424,274,62,2026-02-08,738.86,UPI,Delivered
359,205,51,16,2026-02-26,1935.33,Card,Cancelled
360,4,151,241,2026-03-24,1043.79,UPI,Delivered
361,447,281,103,2026-03-03,1134.16,Cash,Delivered
362,222,102,187,2026-01-18,1084.41,UPI,Delivered
363,496,186,35,2026-01-15,1452.32,UPI,Cancelled
364,378,209,231,2026-02-12,995.17,Card,Cancelled
365,21,105,133,2026-02-17,434.52,Cash,Delivered
366,430,103,168,2026-02-23,385.57,UPI,Delivered
367,482,197,100,2026-01-26,745.42,Card,Cancelled
368,15,128,143,2026-01-30,748.91,Cash,Delivered
369,179,80,290,2026-01-02,1550.84,Card,Cancelled
370,457,58,116,2026-03-29,1278.93,UPI,Delivered
371,88,102,219,2026-01-31,452.99,Card,Cancelled
372,181,43,20,2026-03-17,1923.11,Cash,Cancelled
373,182,148,191,2026-03-15,1539.15,Card,Cancelled
374,478,59,199,2026-01-02,743.03,Card,Delivered
375,432,262,246,2026-03-27,697.62,Card,Cancelled
376,220,234,298,2026-04-01,1791.14,Cash,Delivered
377,262,22,206,2026-01-22,661.72,Card,Delivered
378,314,86,216,2026-01-15,959.01,Card,Delivered
379,133,123,144,2026-01-12,1227.04,UPI,Cancelled
380,9,75,157,2026-02-24,1118.46,UPI,Cancelled
381,240,260,254,2026-01-05,1737.52,Cash,Delivered
382,55,151,212,2026-02-19,1034.05,Cash,Cancelled
383,14,135,32,2026-02-22,724.47,Card,Delivered
384,279,29,112,2026-01-18,768.75,UPI,Delivered
385,381,212,267,2026-02-08,1605.4,UPI,Delivered
386,254,267,33,2026-03-09,966.41,Cash,Delivered
387,208,168,145,2026-02-28,1097.42,Cash,Delivered
388,70,10,46,2026-03-09,1790.16,UPI,Cancelled
389,264,76,90,2026-03-03,1832.19,UPI,Cancelled
390,39,183,160,2026-01-06,1432.43,Cash,Cancelled
391,478,159,209,2026-02-17,917.48,Card,Cancelled
392,454,212,78,2026-02-11,1638.35,Cash,Cancelled
393,327,130,219,2026-02-02,1929.47,Card,Delivered
394,272,253,177,2026-02-07,1091.14,Card,Delivered
395,357,243,78,2026-03-24,1778.39,UPI,Cancelled
396,350,284,289,2026-01-09,1258.08,Card,Delivered
397,321,210,156,2026-02-23,685.61,Cash,Delivered
398,246,184,42,2026-03-25,1696.15,Card,Cancelled
399,419,24,219,2026-02-28,655.56,Cash,Delivered
400,76,106,196,2026-02-11,419.1,Card,Delivered
401,322,267,230,2026-03-02,1757.51,Cash,Delivered
402,432,80,32,2026-03-05,540.97,Card,Cancelled
403,380,133,250,2026-03-24,720.8,Card,Delivered
404,14,295,164,2026-01-28,928.53,Card,Delivered
405,424,222,180,2026-02-08,1756.94,Card,Cancelled
406,346,191,18,2026-01-16,1678.95,UPI,Delivered
407,418,133,9,2026-03-19,664.41,Card,Delivered
408,461,236,151,2026-02-21,1183.1,Card,Delivered
409,30,54,194,2026-03-05,1798.45,Card,Delivered
410,323,121,70,2026-03-01,764.46,UPI,Cancelled
411,464,145,177,2026-01-22,594.66,Cash,Delivered
412,486,32,233,2026-03-20,1627.71,Cash,Cancelled
413,241,187,219,2026-03-01,961.26,UPI,Cancelled
414,167,54,197,2026-01-08,1181.24,Cash,Cancelled
415,73,104,36,2026-02-12,1638.12,Card,Cancelled
416,164,239,279,2026-03-01,344.18,Cash,Cancelled
417,430,59,293,2026-03-11,1653.79,UPI,Cancelled
418,381,75,196,2026-01-12,373.27,Cash,Delivered
419,2,287,58,2026-01-19,1883.21,UPI,Delivered
420,170,64,299,2026-03-24,1206.64,Card,Cancelled
421,203,39,212,2026-03-29,1746.46,Cash,Cancelled
422,381,224,226,2026-02-08,916.22,Cash,Delivered
423,310,245,199,2026-02-28,1751.15,Card,Cancelled
424,426,73,136,2026-03-22,1959.87,UPI,Delivered
425,375,19,3,2026-01-22,1785.81,Card,Delivered
426,216,225,9,2026-01-21,976.41,Cash,Cancelled
427,447,203,30,2026-01-16,249.49,UPI,Cancelled
428,200,161,66,2026-03-25,719.22,UPI,Delivered
429,73,75,122,2026-03-12,1507.79,UPI,Delivered
430,251,287,235,2026-01-28,1617.71,Card,Cancelled
431,1,216,123,2026-03-09,1479.13,Card,Delivered
432,437,166,56,2026-03-09,1652.0,UPI,Cancelled
433,67,267,240,2026-02-02,1221.86,Cash,Cancelled
434,460,63,47,2026-02-02,1481.04,Card,Cancelled
435,216,260,225,2026-02-16,1099.46,Cash,Delivered
436,424,250,166,2026-01-07,1574.21,UPI,Delivered
437,40,92,244,2026-02-14,420.88,UPI,Cancelled
438,86,143,243,2026-01-10,1828.31,Card,Delivered
439,23,150,228,2026-01-30,1178.79,Card,Cancelled
440,6,156,241,2026-02-01,467.82,UPI,Delivered
441,37,132,87,2026-02-09,904.9,Cash,Cancelled
442,233,204,48,2026-01-24,1816.08,Card,Cancelled
443,2,277,85,2026-01-30,1018.31,UPI,Cancelled
444,77,173,176,2026-02-19,651.05,UPI,Delivered
445,132,110,4,2026-01-25,304.27,Cash,Delivered
446,146,114,269,2026-02-28,1555.86,Cash,Delivered
447,310,77,104,2026-01-10,1902.72,UPI,Cancelled
448,88,226,165,2026-01-21,293.17,Cash,Cancelled
449,147,297,66,2026-04-01,1947.52,Cash,Delivered
450,59,232,252,2026-02-01,613.6,Card,Delivered
451,157,78,137,2026-03-27,1351.87,Card,Delivered
452,490,3,190,2026-01-03,1103.4,UPI,Cancelled
453,22,18,16,2026-01-21,670.55,UPI,Cancelled
454,369,256,173,2026-03-03,1256.96,UPI,Delivered
455,368,46,190,2026-02-14,459.99,UPI,Cancelled
456,230,178,41,2026-02-18,644.18,UPI,Delivered
457,375,160,268,2026-01-12,865.61,UPI,Cancelled
458,285,146,159,2026-02-01,1656.94,UPI,Delivered
459,109,238,70,2026-02-22,1595.59,UPI,Cancelled
460,196,79,293,2026-01-10,639.02,Card,Cancelled
461,262,294,246,2026-03-19,1746.48,UPI,Delivered
462,185,233,247,2026-03-26,1386.52,Card,Delivered
463,171,77,138,2026-03-17,785.27,Cash,Delivered
464,24,207,137,2026-03-18,779.49,UPI,Delivered
465,476,192,241,2026-01-27,1336.62,Cash,Delivered
466,364,235,69,2026-01-08,1017.65,Cash,Delivered
467,132,80,146,2026-02-05,413.93,Card,Delivered
468,161,101,63,2026-02-13,1736.79,UPI,Cancelled
469,263,273,46,2026-01-18,1787.34,UPI,Cancelled
470,202,178,265,2026-01-18,913.86,UPI,Delivered
471,268,119,103,2026-03-29,1075.56,Card,Cancelled
472,286,5,271,2026-02-02,1557.06,Cash,Cancelled
473,499,196,268,2026-01-04,907.79,UPI,Cancelled
474,209,59,245,2026-01-13,927.21,UPI,Cancelled
475,481,289,41,2026-01-11,600.48,Card,Cancelled
476,348,176,183,2026-03-20,1483.38,Card,Delivered
477,71,114,206,2026-02-22,1324.99,Cash,Delivered
478,97,291,76,2026-02-01,1220.94,UPI,Delivered
479,216,27,263,2026-01-27,798.43,Cash,Cancelled
480,338,224,117,2026-02-14,830.83,Card,Delivered
481,465,240,66,2026-01-29,842.35,Card,Delivered
482,264,215,194,2026-03-01,1599.94,UPI,Cancelled
483,341,77,135,2026-03-01,1466.53,Cash,Delivered
484,186,217,122,2026-03-09,1743.4,Cash,Cancelled
485,226,267,6,2026-02-12,460.59,Cash,Delivered
